"Label (Grouping)","Population 1 year and over"
"        Estimate","0.9%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Otsego County, New York",""
"    Total",""
"        Estimate","59,242"
"        Margin of Error","±105"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.9%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Putnam County, New York",""
"    Total",""
"        Estimate","97,173"
"        Margin of Error","±189"
"    Moved; within same county",""
"        Estimate","2.1%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Queens County, New York",""
"    Total",""
"        Estimate","2,305,352"
"        Margin of Error","±1,360"
"    Moved; within same county",""
"        Estimate","4.5%"
"        Margin of Error","±0.2"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.1"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","0.9%"
"        Margin of Error","±0.1"
"Rensselaer County, New York",""
"    Total",""
"        Estimate","158,986"
"        Margin of Error","±241"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Richmond County, New York",""
"    Total",""
"        Estimate","487,400"
"        Margin of Error","±575"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Rockland County, New York",""
"    Total",""
"        Estimate","333,034"
"        Margin of Error","±771"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"St. Lawrence County, New York",""
"    Total",""
"        Estimate","106,962"
"        Margin of Error","±170"
"    Moved; within same county",""
"        Estimate","6.4%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Saratoga County, New York",""
"    Total",""
"        Estimate","234,965"
"        Margin of Error","±265"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Schenectady County, New York",""
"    Total",""
"        Estimate","157,926"
"        Margin of Error","±318"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Schoharie County, New York",""
"    Total",""
"        Estimate","29,698"
"        Margin of Error","±83"
"    Moved; within same county",""
"        Estimate","5.4%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Schuyler County, New York",""
"    Total",""
"        Estimate","17,560"
"        Margin of Error","±68"
"    Moved; within same county",""
"        Estimate","4.3%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Seneca County, New York",""
"    Total",""
"        Estimate","32,788"
"        Margin of Error","±91"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","5.7%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Steuben County, New York",""
"    Total",""
"        Estimate","92,233"
"        Margin of Error","±142"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Suffolk County, New York",""
"    Total",""
"        Estimate","1,511,196"
"        Margin of Error","±1,094"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±0.2"
"    Moved; from different county, same state",""
"        Estimate","2.1%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Sullivan County, New York",""
"    Total",""
"        Estimate","78,000"
"        Margin of Error","±246"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Tioga County, New York",""
"    Total",""
"        Estimate","47,706"
"        Margin of Error","±116"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Tompkins County, New York",""
"    Total",""
"        Estimate","102,208"
"        Margin of Error","±174"
"    Moved; within same county",""
"        Estimate","8.9%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","7.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","9.4%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","1.9%"
"        Margin of Error","±0.4"
"Ulster County, New York",""
"    Total",""
"        Estimate","180,351"
"        Margin of Error","±274"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Warren County, New York",""
"    Total",""
"        Estimate","64,882"
"        Margin of Error","±177"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Washington County, New York",""
"    Total",""
"        Estimate","60,355"
"        Margin of Error","±160"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Wayne County, New York",""
"    Total",""
"        Estimate","90,175"
"        Margin of Error","±194"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Westchester County, New York",""
"    Total",""
"        Estimate","986,514"
"        Margin of Error","±868"
"    Moved; within same county",""
"        Estimate","4.3%"
"        Margin of Error","±0.3"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.1"
"Wyoming County, New York",""
"    Total",""
"        Estimate","39,782"
"        Margin of Error","±59"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Yates County, New York",""
"    Total",""
"        Estimate","24,206"
"        Margin of Error","±90"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Alamance County, North Carolina",""
"    Total",""
"        Estimate","172,590"
"        Margin of Error","±307"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Alexander County, North Carolina",""
"    Total",""
"        Estimate","36,181"
"        Margin of Error","±132"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.6"
"Alleghany County, North Carolina",""
"    Total",""
"        Estimate","10,952"
"        Margin of Error","±35"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±2.3"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Anson County, North Carolina",""
"    Total",""
"        Estimate","21,487"
"        Margin of Error","±165"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","7.2%"
"        Margin of Error","±2.3"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Ashe County, North Carolina",""
"    Total",""
"        Estimate","26,552"
"        Margin of Error","±104"
"    Moved; within same county",""
"        Estimate","3.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Avery County, North Carolina",""
"    Total",""
"        Estimate","17,510"
"        Margin of Error","±64"
"    Moved; within same county",""
"        Estimate","3.2%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","6.0%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","4.2%"
"        Margin of Error","±1.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Beaufort County, North Carolina",""
"    Total",""
"        Estimate","44,282"
"        Margin of Error","±143"
"    Moved; within same county",""
"        Estimate","2.7%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","2.1%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Bertie County, North Carolina",""
"    Total",""
"        Estimate","17,306"
"        Margin of Error","±95"
"    Moved; within same county",""
"        Estimate","2.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","6.0%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"Bladen County, North Carolina",""
"    Total",""
"        Estimate","29,314"
"        Margin of Error","±143"
"    Moved; within same county",""
"        Estimate","4.5%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Brunswick County, North Carolina",""
"    Total",""
"        Estimate","144,812"
"        Margin of Error","±206"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","3.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Buncombe County, North Carolina",""
"    Total",""
"        Estimate","269,232"
"        Margin of Error","±477"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","3.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Burke County, North Carolina",""
"    Total",""
"        Estimate","87,047"
"        Margin of Error","±250"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.7%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Cabarrus County, North Carolina",""
"    Total",""
"        Estimate","229,096"
"        Margin of Error","±440"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Caldwell County, North Carolina",""
"    Total",""
"        Estimate","80,034"
"        Margin of Error","±166"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Camden County, North Carolina",""
"    Total",""
"        Estimate","10,631"
"        Margin of Error","±46"
"    Moved; within same county",""
"        Estimate","0.8%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±1.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.4"
"Carteret County, North Carolina",""
"    Total",""
"        Estimate","68,286"
"        Margin of Error","±121"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","4.5%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Caswell County, North Carolina",""
"    Total",""
"        Estimate","22,564"
"        Margin of Error","±85"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Catawba County, North Carolina",""
"    Total",""
"        Estimate","160,464"
"        Margin of Error","±327"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Chatham County, North Carolina",""
"    Total",""
"        Estimate","77,718"
"        Margin of Error","±199"
"    Moved; within same county",""
"        Estimate","3.0%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.5"
"Cherokee County, North Carolina",""
"    Total",""
"        Estimate","28,981"
"        Margin of Error","±87"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Chowan County, North Carolina",""
"    Total",""
"        Estimate","13,814"
"        Margin of Error","±21"
"    Moved; within same county",""
"        Estimate","5.8%"
"        Margin of Error","±2.8"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±2.0"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"Clay County, North Carolina",""
"    Total",""
"        Estimate","11,261"
"        Margin of Error","±111"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±3.0"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","3.4%"
"        Margin of Error","±1.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.4"
"Cleveland County, North Carolina",""
"    Total",""
"        Estimate","98,999"
"        Margin of Error","±227"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Columbus County, North Carolina",""
"    Total",""
"        Estimate","49,909"
"        Margin of Error","±136"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Craven County, North Carolina",""
"    Total",""
"        Estimate","100,077"
"        Margin of Error","±271"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","4.5%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"Cumberland County, North Carolina",""
"    Total",""
"        Estimate","332,054"
"        Margin of Error","±447"
"    Moved; within same county",""
"        Estimate","8.8%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","6.3%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","1.0%"
"        Margin of Error","±0.2"
"Currituck County, North Carolina",""
"    Total",""
"        Estimate","29,371"
"        Margin of Error","±102"
"    Moved; within same county",""
"        Estimate","3.0%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","6.1%"
"        Margin of Error","±2.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Dare County, North Carolina",""
"    Total",""
"        Estimate","37,313"
"        Margin of Error","±84"
"    Moved; within same county",""
"        Estimate","2.7%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","4.8%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Davidson County, North Carolina",""
"    Total",""
"        Estimate","169,041"
"        Margin of Error","±432"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Davie County, North Carolina",""
"    Total",""
"        Estimate","43,268"
"        Margin of Error","±107"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Duplin County, North Carolina",""
"    Total",""
"        Estimate","48,706"
"        Margin of Error","±108"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Durham County, North Carolina",""
"    Total",""
"        Estimate","326,459"
"        Margin of Error","±469"
"    Moved; within same county",""
"        Estimate","7.5%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","4.3%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","1.3%"
"        Margin of Error","±0.2"
"Edgecombe County, North Carolina",""
"    Total",""
"        Estimate","48,159"
"        Margin of Error","±188"
"    Moved; within same county",""
"        Estimate","2.8%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","4.9%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Forsyth County, North Carolina",""
"    Total",""
"        Estimate","382,715"
"        Margin of Error","±530"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","3.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Franklin County, North Carolina",""
"    Total",""
"        Estimate","71,376"
"        Margin of Error","±172"
"    Moved; within same county",""
"        Estimate","2.8%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Gaston County, North Carolina",""
"    Total",""
"        Estimate","229,307"
"        Margin of Error","±302"
"    Moved; within same county",""
"        Estimate","5.8%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Gates County, North Carolina",""
"    Total",""
"        Estimate","10,371"
"        Margin of Error","±50"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±2.3"
"    Moved; from different county, same state",""
"        Estimate","2.1%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","4.0%"
"        Margin of Error","±2.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.4"
"Graham County, North Carolina",""
"    Total",""
"        Estimate","7,981"
"        Margin of Error","±63"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","1.7%"
"        Margin of Error","±1.7"
"Granville County, North Carolina",""
"    Total",""
"        Estimate","60,773"
"        Margin of Error","±198"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","5.6%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Greene County, North Carolina",""
"    Total",""
"        Estimate","20,217"
"        Margin of Error","±67"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","9.4%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Guilford County, North Carolina",""
"    Total",""
"        Estimate","537,002"
"        Margin of Error","±572"
"    Moved; within same county",""
"        Estimate","7.9%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.1"
"Halifax County, North Carolina",""
"    Total",""
"        Estimate","47,756"
"        Margin of Error","±143"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
