"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"        Estimate","579","41","5,382","228","621"
"    Percent Male","","","","",""
"        Estimate","(X)","7.1%","(X)","4.2%","11.5%"
"    Female","","","","",""
"        Estimate","487","158","5,479","242","495"
"    Percent Female","","","","",""
"        Estimate","(X)","32.4%","(X)","4.4%","9.0%"
"Coffee County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","4,282","745","36,904","1,678","3,480"
"    Percent","","","","",""
"        Estimate","(X)","17.4%","(X)","4.5%","9.4%"
"    Male","","","","",""
"        Estimate","2,261","453","17,991","900","1,630"
"    Percent Male","","","","",""
"        Estimate","(X)","20.0%","(X)","5.0%","9.1%"
"    Female","","","","",""
"        Estimate","2,021","292","18,913","778","1,850"
"    Percent Female","","","","",""
"        Estimate","(X)","14.4%","(X)","4.1%","9.8%"
"Colbert County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","4,359","629","40,978","1,250","3,852"
"    Percent","","","","",""
"        Estimate","(X)","14.4%","(X)","3.1%","9.4%"
"    Male","","","","",""
"        Estimate","2,182","533","19,253","736","2,303"
"    Percent Male","","","","",""
"        Estimate","(X)","24.4%","(X)","3.8%","12.0%"
"    Female","","","","",""
"        Estimate","2,177","96","21,725","514","1,549"
"    Percent Female","","","","",""
"        Estimate","(X)","4.4%","(X)","2.4%","7.1%"
"Conecuh County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","979","167","8,127","195","822"
"    Percent","","","","",""
"        Estimate","(X)","17.1%","(X)","2.4%","10.1%"
"    Male","","","","",""
"        Estimate","445","87","3,868","155","329"
"    Percent Male","","","","",""
"        Estimate","(X)","19.6%","(X)","4.0%","8.5%"
"    Female","","","","",""
"        Estimate","534","80","4,259","40","493"
"    Percent Female","","","","",""
"        Estimate","(X)","15.0%","(X)","0.9%","11.6%"
"Coosa County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","646","247","7,935","348","1,019"
"    Percent","","","","",""
"        Estimate","(X)","38.2%","(X)","4.4%","12.8%"
"    Male","","","","",""
"        Estimate","452","178","3,854","204","544"
"    Percent Male","","","","",""
"        Estimate","(X)","39.4%","(X)","5.3%","14.1%"
"    Female","","","","",""
"        Estimate","194","69","4,081","144","475"
"    Percent Female","","","","",""
"        Estimate","(X)","35.6%","(X)","3.5%","11.6%"
"Covington County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,869","599","26,459","1,031","2,625"
"    Percent","","","","",""
"        Estimate","(X)","20.9%","(X)","3.9%","9.9%"
"    Male","","","","",""
"        Estimate","1,524","346","12,377","582","1,228"
"    Percent Male","","","","",""
"        Estimate","(X)","22.7%","(X)","4.7%","9.9%"
"    Female","","","","",""
"        Estimate","1,345","253","14,082","449","1,397"
"    Percent Female","","","","",""
"        Estimate","(X)","18.8%","(X)","3.2%","9.9%"
"Crenshaw County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,024","194","9,104","557","1,029"
"    Percent","","","","",""
"        Estimate","(X)","18.9%","(X)","6.1%","11.3%"
"    Male","","","","",""
"        Estimate","510","111","4,322","233","600"
"    Percent Male","","","","",""
"        Estimate","(X)","21.8%","(X)","5.4%","13.9%"
"    Female","","","","",""
"        Estimate","514","83","4,782","324","429"
"    Percent Female","","","","",""
"        Estimate","(X)","16.1%","(X)","6.8%","9.0%"
"Cullman County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","6,931","1,121","62,400","2,748","6,615"
"    Percent","","","","",""
"        Estimate","(X)","16.2%","(X)","4.4%","10.6%"
"    Male","","","","",""
"        Estimate","3,618","816","30,525","1,399","3,850"
"    Percent Male","","","","",""
"        Estimate","(X)","22.6%","(X)","4.6%","12.6%"
"    Female","","","","",""
"        Estimate","3,313","305","31,875","1,349","2,765"
"    Percent Female","","","","",""
"        Estimate","(X)","9.2%","(X)","4.2%","8.7%"
"Dale County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","4,166","541","33,832","1,577","3,253"
"    Percent","","","","",""
"        Estimate","(X)","13.0%","(X)","4.7%","9.6%"
"    Male","","","","",""
"        Estimate","2,189","342","16,262","780","1,571"
"    Percent Male","","","","",""
"        Estimate","(X)","15.6%","(X)","4.8%","9.7%"
"    Female","","","","",""
"        Estimate","1,977","199","17,570","797","1,682"
"    Percent Female","","","","",""
"        Estimate","(X)","10.1%","(X)","4.5%","9.6%"
"Dallas County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","3,083","458","25,507","770","2,531"
"    Percent","","","","",""
"        Estimate","(X)","14.9%","(X)","3.0%","9.9%"
"    Male","","","","",""
"        Estimate","1,519","188","11,241","378","1,150"
"    Percent Male","","","","",""
"        Estimate","(X)","12.4%","(X)","3.4%","10.2%"
"    Female","","","","",""
"        Estimate","1,564","270","14,266","392","1,381"
"    Percent Female","","","","",""
"        Estimate","(X)","17.3%","(X)","2.7%","9.7%"
"DeKalb County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","6,040","892","48,464","5,010","5,194"
"    Percent","","","","",""
"        Estimate","(X)","14.8%","(X)","10.3%","10.7%"
"    Male","","","","",""
"        Estimate","3,203","429","23,763","2,804","2,741"
"    Percent Male","","","","",""
"        Estimate","(X)","13.4%","(X)","11.8%","11.5%"
"    Female","","","","",""
"        Estimate","2,837","463","24,701","2,206","2,453"
"    Percent Female","","","","",""
"        Estimate","(X)","16.3%","(X)","8.9%","9.9%"
"Elmore County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","7,498","1,246","61,916","1,933","4,513"
"    Percent","","","","",""
"        Estimate","(X)","16.6%","(X)","3.1%","7.3%"
"    Male","","","","",""
"        Estimate","3,993","764","29,249","1,241","2,553"
"    Percent Male","","","","",""
"        Estimate","(X)","19.1%","(X)","4.2%","8.7%"
"    Female","","","","",""
"        Estimate","3,505","482","32,667","692","1,960"
"    Percent Female","","","","",""
"        Estimate","(X)","13.8%","(X)","2.1%","6.0%"
"Escambia County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,843","501","25,499","1,305","3,149"
"    Percent","","","","",""
"        Estimate","(X)","17.6%","(X)","5.1%","12.3%"
"    Male","","","","",""
"        Estimate","1,369","227","12,722","682","1,777"
"    Percent Male","","","","",""
"        Estimate","(X)","16.6%","(X)","5.4%","14.0%"
"    Female","","","","",""
"        Estimate","1,474","274","12,777","623","1,372"
"    Percent Female","","","","",""
"        Estimate","(X)","18.6%","(X)","4.9%","10.7%"
"Etowah County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","8,151","1,083","72,570","3,375","6,946"
"    Percent","","","","",""
"        Estimate","(X)","13.3%","(X)","4.7%","9.6%"
"    Male","","","","",""
"        Estimate","4,122","634","34,351","1,916","3,413"
"    Percent Male","","","","",""
"        Estimate","(X)","15.4%","(X)","5.6%","9.9%"
"    Female","","","","",""
"        Estimate","4,029","449","38,219","1,459","3,533"
"    Percent Female","","","","",""
"        Estimate","(X)","11.1%","(X)","3.8%","9.2%"
"Fayette County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,501","341","11,220","598","1,059"
"    Percent","","","","",""
"        Estimate","(X)","22.7%","(X)","5.3%","9.4%"
"    Male","","","","",""
"        Estimate","572","91","5,383","428","553"
"    Percent Male","","","","",""
"        Estimate","(X)","15.9%","(X)","8.0%","10.3%"
"    Female","","","","",""
"        Estimate","929","250","5,837","170","506"
"    Percent Female","","","","",""
"        Estimate","(X)","26.9%","(X)","2.9%","8.7%"
"Franklin County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,797","642","21,156","1,429","2,911"
"    Percent","","","","",""
"        Estimate","(X)","23.0%","(X)","6.8%","13.8%"
"    Male","","","","",""
"        Estimate","1,531","483","10,254","626","1,546"
"    Percent Male","","","","",""
"        Estimate","(X)","31.5%","(X)","6.1%","15.1%"
"    Female","","","","",""
"        Estimate","1,266","159","10,902","803","1,365"
"    Percent Female","","","","",""
"        Estimate","(X)","12.6%","(X)","7.4%","12.5%"
"Geneva County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,847","411","18,969","1,156","2,029"
"    Percent","","","","",""
"        Estimate","(X)","22.3%","(X)","6.1%","10.7%"
"    Male","","","","",""
"        Estimate","915","270","9,157","622","1,022"
"    Percent Male","","","","",""
"        Estimate","(X)","29.5%","(X)","6.8%","11.2%"
"    Female","","","","",""
"        Estimate","932","141","9,812","534","1,007"
"    Percent Female","","","","",""
"        Estimate","(X)","15.1%","(X)","5.4%","10.3%"
"Greene County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","693","129","5,274","211","738"
"    Percent","","","","",""
"        Estimate","(X)","18.6%","(X)","4.0%","14.0%"
"    Male","","","","",""
"        Estimate","249","0","2,529","75","253"
"    Percent Male","","","","",""
"        Estimate","(X)","0.0%","(X)","3.0%","10.0%"
"    Female","","","","",""
"        Estimate","444","129","2,745","136","485"
"    Percent Female","","","","",""
"        Estimate","(X)","29.1%","(X)","5.0%","17.7%"
"Hale County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,266","279","9,968","597","1,208"
"    Percent","","","","",""
"        Estimate","(X)","22.0%","(X)","6.0%","12.1%"
"    Male","","","","",""
"        Estimate","601","169","4,563","435","697"
"    Percent Male","","","","",""
"        Estimate","(X)","28.1%","(X)","9.5%","15.3%"
"    Female","","","","",""
"        Estimate","665","110","5,405","162","511"
"    Percent Female","","","","",""
"        Estimate","(X)","16.5%","(X)","3.0%","9.5%"
"Henry County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,158","213","12,722","712","1,548"
"    Percent","","","","",""
"        Estimate","(X)","18.4%","(X)","5.6%","12.2%"
"    Male","","","","",""
"        Estimate","595","88","6,067","439","900"
"    Percent Male","","","","",""
"        Estimate","(X)","14.8%","(X)","7.2%","14.8%"
"    Female","","","","",""
"        Estimate","563","125","6,655","273","648"
"    Percent Female","","","","",""
"        Estimate","(X)","22.2%","(X)","4.1%","9.7%"
"Houston County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","8,326","1,129","74,490","2,846","6,540"
"    Percent","","","","",""
"        Estimate","(X)","13.6%","(X)","3.8%","8.8%"
"    Male","","","","",""
"        Estimate","4,173","565","34,629","1,513","2,951"
"    Percent Male","","","","",""
"        Estimate","(X)","13.5%","(X)","4.4%","8.5%"
"    Female","","","","",""
"        Estimate","4,153","564","39,861","1,333","3,589"
"    Percent Female","","","","",""
"        Estimate","(X)","13.6%","(X)","3.3%","9.0%"
"Jackson County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","3,966","739","37,890","2,046","4,753"
"    Percent","","","","",""
"        Estimate","(X)","18.6%","(X)","5.4%","12.5%"
"    Male","","","","",""
"        Estimate","2,010","381","18,450","1,076","2,376"
"    Percent Male","","","","",""
"        Estimate","(X)","19.0%","(X)","5.8%","12.9%"
"    Female","","","","",""
"        Estimate","1,956","358","19,440","970","2,377"
"    Percent Female","","","","",""
"        Estimate","(X)","18.3%","(X)","5.0%","12.2%"
"Jefferson County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","61,061","6,041","454,593","11,311","29,639"
"    Percent","","","","",""
"        Estimate","(X)","9.9%","(X)","2.5%","6.5%"
"    Male","","","","",""
"        Estimate","29,441","3,610","210,229","6,280","15,332"
"    Percent Male","","","","",""
"        Estimate","(X)","12.3%","(X)","3.0%","7.3%"
"    Female","","","","",""
"        Estimate","31,620","2,431","244,364","5,031","14,307"
"    Percent Female","","","","",""
"        Estimate","(X)","7.7%","(X)","2.1%","5.9%"
"Lamar County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","898","119","9,826","504","1,078"
"    Percent","","","","",""
"        Estimate","(X)","13.3%","(X)","5.1%","11.0%"
"    Male","","","","",""
"        Estimate","489","72","4,730","328","443"
"    Percent Male","","","","",""
"        Estimate","(X)","14.7%","(X)","6.9%","9.4%"
"    Female","","","","",""
"        Estimate","409","47","5,096","176","635"
"    Percent Female","","","","",""
"        Estimate","(X)","11.5%","(X)","3.5%","12.5%"
"Lauderdale County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","11,558","632","64,931","2,026","4,919"
"    Percent","","","","",""
"        Estimate","(X)","5.5%","(X)","3.1%","7.6%"
"    Male","","","","",""
"        Estimate","5,351","252","30,925","991","2,369"
"    Percent Male","","","","",""
"        Estimate","(X)","4.7%","(X)","3.2%","7.7%"
"    Female","","","","",""
"        Estimate","6,207","380","34,006","1,035","2,550"
"    Percent Female","","","","",""
"        Estimate","(X)","6.1%","(X)","3.0%","7.5%"
"Lawrence County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,580","395","23,380","1,194","2,416"
"    Percent","","","","",""
"        Estimate","(X)","15.3%","(X)","5.1%","10.3%"
"    Male","","","","",""
"        Estimate","1,323","198","11,239","795","868"
"    Percent Male","","","","",""
"        Estimate","(X)","15.0%","(X)","7.1%","7.7%"
"    Female","","","","",""
"        Estimate","1,257","197","12,141","399","1,548"
"    Percent Female","","","","",""
"        Estimate","(X)","15.7%","(X)","3.3%","12.8%"
"Lee County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","30,221","2,151","109,875","3,327","6,094"
"    Percent","","","","",""
"        Estimate","(X)","7.1%","(X)","3.0%","5.5%"
"    Male","","","","",""
"        Estimate","15,524","1,380","52,887","2,073","2,944"
"    Percent Male","","","","",""
"        Estimate","(X)","8.9%","(X)","3.9%","5.6%"
"    Female","","","","",""
"        Estimate","14,697","771","56,988","1,254","3,150"
"    Percent Female","","","","",""
"        Estimate","(X)","5.2%","(X)","2.2%","5.5%"
"Limestone County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","8,030","1,028","75,594","3,305","6,097"
"    Percent","","","","",""
"        Estimate","(X)","12.8%","(X)","4.4%","8.1%"
"    Male","","","","",""
"        Estimate","4,199","501","37,697","1,791","3,510"
"    Percent Male","","","","",""
"        Estimate","(X)","11.9%","(X)","4.8%","9.3%"
"    Female","","","","",""
"        Estimate","3,831","527","37,897","1,514","2,587"
"    Percent Female","","","","",""
"        Estimate","(X)","13.8%","(X)","4.0%","6.8%"
"Lowndes County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","810","179","6,999","385","789"
"    Percent","","","","",""
"        Estimate","(X)","22.1%","(X)","5.5%","11.3%"
"    Male","","","","",""
"        Estimate","432","112","3,204","171","383"
"    Percent Male","","","","",""
"        Estimate","(X)","25.9%","(X)","5.3%","12.0%"
"    Female","","","","",""
"        Estimate","378","67","3,795","214","406"
"    Percent Female","","","","",""
"        Estimate","(X)","17.7%","(X)","5.6%","10.7%"
"Macon County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","4,346","261","11,661","393","1,449"
"    Percent","","","","",""
"        Estimate","(X)","6.0%","(X)","3.4%","12.4%"
"    Male","","","","",""
"        Estimate","1,977","181","5,271","279","745"
"    Percent Male","","","","",""
"        Estimate","(X)","9.2%","(X)","5.3%","14.1%"
"    Female","","","","",""
"        Estimate","2,369","80","6,390","114","704"
"    Percent Female","","","","",""
"        Estimate","(X)","3.4%","(X)","1.8%","11.0%"
"Madison County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","38,222","2,910","272,559","6,157","14,037"
"    Percent","","","","",""
"        Estimate","(X)","7.6%","(X)","2.3%","5.2%"
"    Male","","","","",""
"        Estimate","19,168","1,825","132,278","3,173","7,834"
"    Percent Male","","","","",""
"        Estimate","(X)","9.5%","(X)","2.4%","5.9%"
"    Female","","","","",""
"        Estimate","19,054","1,085","140,281","2,984","6,203"
"    Percent Female","","","","",""
"        Estimate","(X)","5.7%","(X)","2.1%","4.4%"
"Marengo County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,809","390","12,932","891","969"
"    Percent","","","","",""
"        Estimate","(X)","21.6%","(X)","6.9%","7.5%"
"    Male","","","","",""
"        Estimate","819","245","5,994","360","587"
"    Percent Male","","","","",""
"        Estimate","(X)","29.9%","(X)","6.0%","9.8%"
"    Female","","","","",""
"        Estimate","990","145","6,938","531","382"
"    Percent Female","","","","",""
"        Estimate","(X)","14.6%","(X)","7.7%","5.5%"
"Marion County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,262","441","20,753","1,174","2,539"
"    Percent","","","","",""
"        Estimate","(X)","19.5%","(X)","5.7%","12.2%"
"    Male","","","","",""
"        Estimate","1,220","297","9,985","696","1,683"
"    Percent Male","","","","",""
"        Estimate","(X)","24.3%","(X)","7.0%","16.9%"
"    Female","","","","",""
"        Estimate","1,042","144","10,768","478","856"
"    Percent Female","","","","",""
"        Estimate","(X)","13.8%","(X)","4.4%","7.9%"
"Marshall County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","8,088","1,401","65,093","4,508","5,633"
"    Percent","","","","",""
"        Estimate","(X)","17.3%","(X)","6.9%","8.7%"
"    Male","","","","",""
"        Estimate","4,233","907","31,680","2,504","2,983"
"    Percent Male","","","","",""
"        Estimate","(X)","21.4%","(X)","7.9%","9.4%"
"    Female","","","","",""
"        Estimate","3,855","494","33,413","2,004","2,650"
"    Percent Female","","","","",""
"        Estimate","(X)","12.8%","(X)","6.0%","7.9%"
"Mobile County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","36,238","4,386","280,248","7,085","23,719"
"    Percent","","","","",""
"        Estimate","(X)","12.1%","(X)","2.5%","8.5%"
"    Male","","","","",""
"        Estimate","18,019","2,650","130,558","3,938","12,075"
"    Percent Male","","","","",""
"        Estimate","(X)","14.7%","(X)","3.0%","9.2%"
"    Female","","","","",""
"        Estimate","18,219","1,736","149,690","3,147","11,644"
"    Percent Female","","","","",""
"        Estimate","(X)","9.5%","(X)","2.1%","7.8%"
"Monroe County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,920","376","13,506","397","1,816"
"    Percent","","","","",""
"        Estimate","(X)","19.6%","(X)","2.9%","13.4%"
"    Male","","","","",""
"        Estimate","853","260","6,307","266","962"
"    Percent Male","","","","",""
"        Estimate","(X)","30.5%","(X)","4.2%","15.3%"
"    Female","","","","",""
"        Estimate","1,067","116","7,199","131","854"
"    Percent Female","","","","",""
"        Estimate","(X)","10.9%","(X)","1.8%","11.9%"
"Montgomery County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","21,891","2,277","150,598","5,064","11,737"
"    Percent","","","","",""
"        Estimate","(X)","10.4%","(X)","3.4%","7.8%"
"    Male","","","","",""
"        Estimate","10,877","1,156","68,314","2,667","6,829"
"    Percent Male","","","","",""
"        Estimate","(X)","10.6%","(X)","3.9%","10.0%"
"    Female","","","","",""
"        Estimate","11,014","1,121","82,284","2,397","4,908"
"    Percent Female","","","","",""
"        Estimate","(X)","10.2%","(X)","2.9%","6.0%"
"Morgan County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","9,765","1,535","85,093","5,267","7,425"
"    Percent","","","","",""
"        Estimate","(X)","15.7%","(X)","6.2%","8.7%"
"    Male","","","","",""
"        Estimate","5,076","786","41,224","2,959","4,083"
"    Percent Male","","","","",""
"        Estimate","(X)","15.5%","(X)","7.2%","9.9%"
"    Female","","","","",""
"        Estimate","4,689","749","43,869","2,308","3,342"
"    Percent Female","","","","",""
"        Estimate","(X)","16.0%","(X)","5.3%","7.6%"
"Perry County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,267","75","5,211","195","734"
"    Percent","","","","",""
"        Estimate","(X)","5.9%","(X)","3.7%","14.1%"
"    Male","","","","",""
"        Estimate","544","11","2,277","78","407"
"    Percent Male","","","","",""
"        Estimate","(X)","2.0%","(X)","3.4%","17.9%"
"    Female","","","","",""
"        Estimate","723","64","2,934","117","327"
"    Percent Female","","","","",""
"        Estimate","(X)","8.9%","(X)","4.0%","11.1%"
