"Label (Grouping)","Population 1 year and over"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","5.1%"
"        Margin of Error","±2.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Covington County, Alabama",""
"    Total",""
"        Estimate","36,672"
"        Margin of Error","±127"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Crenshaw County, Alabama",""
"    Total",""
"        Estimate","13,711"
"        Margin of Error","±50"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","1.5%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Cullman County, Alabama",""
"    Total",""
"        Estimate","82,251"
"        Margin of Error","±156"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Dale County, Alabama",""
"    Total",""
"        Estimate","48,521"
"        Margin of Error","±147"
"    Moved; within same county",""
"        Estimate","6.4%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","6.9%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"Dallas County, Alabama",""
"    Total",""
"        Estimate","38,394"
"        Margin of Error","±210"
"    Moved; within same county",""
"        Estimate","8.1%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"DeKalb County, Alabama",""
"    Total",""
"        Estimate","70,384"
"        Margin of Error","±210"
"    Moved; within same county",""
"        Estimate","8.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Elmore County, Alabama",""
"    Total",""
"        Estimate","80,394"
"        Margin of Error","±237"
"    Moved; within same county",""
"        Estimate","5.7%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","7.1%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Escambia County, Alabama",""
"    Total",""
"        Estimate","36,628"
"        Margin of Error","±119"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","1.0%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Etowah County, Alabama",""
"    Total",""
"        Estimate","101,729"
"        Margin of Error","±224"
"    Moved; within same county",""
"        Estimate","8.9%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Fayette County, Alabama",""
"    Total",""
"        Estimate","16,264"
"        Margin of Error","±65"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","5.1%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Franklin County, Alabama",""
"    Total",""
"        Estimate","31,062"
"        Margin of Error","±192"
"    Moved; within same county",""
"        Estimate","4.5%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.5"
"Geneva County, Alabama",""
"    Total",""
"        Estimate","26,143"
"        Margin of Error","±99"
"    Moved; within same county",""
"        Estimate","7.3%"
"        Margin of Error","±2.1"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Greene County, Alabama",""
"    Total",""
"        Estimate","8,237"
"        Margin of Error","±77"
"    Moved; within same county",""
"        Estimate","1.1%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.6"
"Hale County, Alabama",""
"    Total",""
"        Estimate","14,697"
"        Margin of Error","±79"
"    Moved; within same county",""
"        Estimate","2.8%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Henry County, Alabama",""
"    Total",""
"        Estimate","16,994"
"        Margin of Error","±60"
"    Moved; within same county",""
"        Estimate","2.7%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Houston County, Alabama",""
"    Total",""
"        Estimate","103,437"
"        Margin of Error","±166"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","2.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Jackson County, Alabama",""
"    Total",""
"        Estimate","51,091"
"        Margin of Error","±191"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","0.8%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Jefferson County, Alabama",""
"    Total",""
"        Estimate","651,299"
"        Margin of Error","±572"
"    Moved; within same county",""
"        Estimate","10.9%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Lamar County, Alabama",""
"    Total",""
"        Estimate","13,732"
"        Margin of Error","±103"
"    Moved; within same county",""
"        Estimate","6.6%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Lauderdale County, Alabama",""
"    Total",""
"        Estimate","91,700"
"        Margin of Error","±173"
"    Moved; within same county",""
"        Estimate","9.2%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Lawrence County, Alabama",""
"    Total",""
"        Estimate","32,808"
"        Margin of Error","±110"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Lee County, Alabama",""
"    Total",""
"        Estimate","159,432"
"        Margin of Error","±341"
"    Moved; within same county",""
"        Estimate","9.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","5.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"Limestone County, Alabama",""
"    Total",""
"        Estimate","93,701"
"        Margin of Error","±260"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","6.0%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Lowndes County, Alabama",""
"    Total",""
"        Estimate","9,973"
"        Margin of Error","±40"
"    Moved; within same county",""
"        Estimate","8.6%"
"        Margin of Error","±3.1"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Macon County, Alabama",""
"    Total",""
"        Estimate","18,577"
"        Margin of Error","±69"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","3.1%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Madison County, Alabama",""
"    Total",""
"        Estimate","358,386"
"        Margin of Error","±452"
"    Moved; within same county",""
"        Estimate","10.5%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Marengo County, Alabama",""
"    Total",""
"        Estimate","19,082"
"        Margin of Error","±132"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","1.4%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Marion County, Alabama",""
"    Total",""
"        Estimate","29,713"
"        Margin of Error","±74"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Marshall County, Alabama",""
"    Total",""
"        Estimate","94,420"
"        Margin of Error","±281"
"    Moved; within same county",""
"        Estimate","6.5%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Mobile County, Alabama",""
"    Total",""
"        Estimate","408,937"
"        Margin of Error","±496"
"    Moved; within same county",""
"        Estimate","9.1%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","1.0%"
"        Margin of Error","±0.1"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Monroe County, Alabama",""
"    Total",""
"        Estimate","21,004"
"        Margin of Error","±148"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","1.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Montgomery County, Alabama",""
"    Total",""
"        Estimate","224,583"
"        Margin of Error","±399"
"    Moved; within same county",""
"        Estimate","13.3%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.2"
"Morgan County, Alabama",""
"    Total",""
"        Estimate","117,781"
"        Margin of Error","±262"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Perry County, Alabama",""
"    Total",""
"        Estimate","9,293"
"        Margin of Error","±17"
"    Moved; within same county",""
"        Estimate","2.2%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Pickens County, Alabama",""
"    Total",""
"        Estimate","19,982"
"        Margin of Error","±103"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Pike County, Alabama",""
"    Total",""
"        Estimate","32,964"
"        Margin of Error","±143"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","1.6%"
"        Margin of Error","±1.2"
"Randolph County, Alabama",""
"    Total",""
"        Estimate","22,452"
"        Margin of Error","±65"
"    Moved; within same county",""
"        Estimate","5.9%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Russell County, Alabama",""
"    Total",""
"        Estimate","57,142"
"        Margin of Error","±213"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","8.1%"
"        Margin of Error","±1.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"St. Clair County, Alabama",""
"    Total",""
"        Estimate","87,170"
"        Margin of Error","±173"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Shelby County, Alabama",""
"    Total",""
"        Estimate","210,928"
"        Margin of Error","±354"
"    Moved; within same county",""
"        Estimate","5.8%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Sumter County, Alabama",""
"    Total",""
"        Estimate","12,677"
"        Margin of Error","±102"
"    Moved; within same county",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Talladega County, Alabama",""
"    Total",""
"        Estimate","79,536"
"        Margin of Error","±179"
"    Moved; within same county",""
"        Estimate","8.4%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","3.5%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Tallapoosa County, Alabama",""
"    Total",""
"        Estimate","40,041"
"        Margin of Error","±132"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Tuscaloosa County, Alabama",""
"    Total",""
"        Estimate","204,675"
"        Margin of Error","±408"
"    Moved; within same county",""
"        Estimate","9.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","4.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Walker County, Alabama",""
"    Total",""
"        Estimate","63,362"
"        Margin of Error","±170"
"    Moved; within same county",""
"        Estimate","8.2%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Washington County, Alabama",""
"    Total",""
"        Estimate","16,442"
"        Margin of Error","±54"
"    Moved; within same county",""
"        Estimate","3.0%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Wilcox County, Alabama",""
"    Total",""
"        Estimate","10,512"
"        Margin of Error","±109"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Winston County, Alabama",""
"    Total",""
